"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
370;"1/10/2022";20000;0;0;200
795;"1/10/2022";200;0;0;2
614;"1/10/2022";2000;0;0;20
677;"1/10/2022";6000;0;0;60
972;"1/10/2022";100;0;0;1
12;"1/10/2022";4001;0;0;40
780;"1/10/2022";500;0;0;5
601;"1/10/2022";12500;0;0;125
708;"1/10/2022";4000;0;0;40
390;"1/10/2022";192;0;0;2
153;"1/10/2022";3000;0;0;30
122;"1/10/2022";1000;0;0;10
571;"1/10/2022";250;0;0;3
187;"1/10/2022";2500;0;0;25
632;"1/10/2022";500;0;0;5
915;"1/10/2022";18000;0;0;180
558;"1/10/2022";1100;0;0;11
239;"1/10/2022";2000;0;0;20
719;"1/10/2022";300;0;0;3
399;"1/10/2022";3000;0;0;30
731;"1/10/2022";4000;0;0;40
947;"1/10/2022";10200;0;0;102
973;"1/10/2022";1300;0;0;13
44;"1/10/2022";200;0;0;2
420;"1/10/2022";500;0;0;5
699;"1/10/2022";8000;0;0;80
885;"1/10/2022";300;0;0;3
871;"1/10/2022";2000;0;0;20
316;"1/10/2022";727;0;0;7
565;"1/10/2022";8000;0;0;80
950;"1/10/2022";20000;0;0;200
182;"1/10/2022";65000;0;0;650
539;"1/10/2022";2750;0;0;28
740;"1/10/2022";20000;0;0;200
181;"1/10/2022";50000;0;0;500
71;"1/10/2022";1000;0;0;10
168;"1/10/2022";2000;0;0;20
247;"1/10/2022";5000;0;0;50
561;"1/10/2022";500;0;0;5
90;"1/10/2022";400;0;0;4
860;"1/10/2022";220;0;0;2
5;"1/10/2022";500;0;0;5
208;"1/10/2022";160000;0;0;1600
541;"1/10/2022";38;0;0;0
149;"1/10/2022";4000;0;0;40
133;"1/10/2022";91;0;0;1
978;"1/10/2022";25004;0;0;250
689;"1/10/2022";1000;0;0;10
613;"1/10/2022";1000;0;0;10
978;"1/10/2022";10001;0;0;100
161;"1/10/2022";6000;0;0;60
